exclude,Name,Code,Theme,URL,Source,freq,nace_r2,unit,s_adj,tra_cov,aircraft,indic_bt,geo,nrg_bal,stk_flow,siec,partner,indic_nrg,crudeoil,sex,age,resid,icd10,indic_ur,,
,Supply transformation and consumption of gas,nrg_cb_gasm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_gasm,Eurostat,,,,,,,,EU27_2020,IC_CAL_MG&IMP&EXP,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_cb_gasm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU27_2020nrg_bal=IC_CAL_MG&IMP&EXP,note need to add siec
,Crude oil imports by field of production,nrg_ti_coifpm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_ti_coifpm,Eurostat,,,,,,,,EU_V,,,,,VOL_THS_BBL&AVGPRC_USD_BBL,total,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_ti_coifpm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EU_Vcrudeoil=total,
