exclude,Name,Code,Theme,URL,Source,freq,indic_et,nace_r2,unit,s_adj,tra_cov,aircraft,indic_bt,geo,nrg_bal,stk_flow,siec,partner,nrg_bal,crudeoil,sex,age,resid,icd10,indic_ur,,
,Nights spent at tourist accommodation establishments,tour_occ_nim,"industry, trade and services",https://ec.europa.eu/eurostat/databrowser/product/page/tin00171,Eurostat,,,I551-I553,NR,,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_occ_nim?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20,need at add unit & NACE_R2
,Net occupancy rate of bed-places and bedrooms in hotels and similar accomidation,tour_occ_mnor,"industry, trade and services",https://ec.europa.eu/eurostat/databrowser/product/page/tin00173,Eurostat,,,,,,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_occ_mnor?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20,
,"Supply, transformation and consumption of electricity",nrg_cb_em,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_em,Eurostat,,,,,,,,,EA20,AIM,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_cb_em?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20nrg_bal=AIM,
,Stock levels for oil products,nrg_stk_oilm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_stk_oilm,Eurostat,,,,,,,,,EA20,,STK_OP,4000&4100&4200,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_stk_oilm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20stk_flow=STK_OP,note need to add siec
,Oil stocks held abroad,nrg_stk_oam,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_stk_oam,Eurostat,,,,,,,,,EA20,,STK_OP,4000&4100&4200,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_stk_oam?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20stk_flow=STK_OP,note need to add siec
,"Supply, transformation and consumption of gas",nrg_cb_gasm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_gasm,Eurostat,,,,,,,,,EA20,,stkcl_abr_oa,4000&4100&4200,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_cb_gasm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20stk_flow=stkcl_abr_oa,note need to add siec
x,,nrg_cb_sffm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_sffm,Eurostat,,,,,,,,,EA20,,,,,GID_CAL,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_cb_sffm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20nrg_bal=GID_CAL,"note: alot of nrg_bal, need to pick"
,Net electricity generation by type of fuel,nrg_cb_pem,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_pem,Eurostat,,,,,,,,,EA20,,,total&CF&RA300&RA400,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_cb_pem?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20,note need to add siec
,Imports of natural gas by partner country,nrg_ti_gasm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_ti_gasm,Eurostat,,,,mio_m3,,,,,EA20,,,,total,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_ti_gasm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20partner=total,
,Exports of natural gas by partner country,nrg_te_gasm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_te_gasm,Eurostat,,,,mio_m3,,,,,EA20,,,,total,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_te_gasm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20partner=total,
